Well Position,Volume (variable)
A1,10
B1,10
C1,10
D1,10
E1,10
F1,10
G1,10
H1,10
A2,10
B2,10
C2,10
D2,10
E2,10
F2,10
G2,10
H2,10
A3,10
B3,10
C3,10
D3,10
E3,10
F3,10
G3,10
H3,10
A4,10
B4,10
C4,10
D4,10
E4,10
F4,10
G4,10
H4,10
A5,10
B5,10
C5,10
D5,10
E5,10
F5,10
G5,10
H5,10
A6,10
B6,10
C6,10
D6,10
E6,10
F6,10
G6,10
H6,10
A7,10
B7,10
C7,10
D7,10
E7,10
F7,10
G7,10
H7,10
A8,10
B8,10
C8,10
D8,10
E8,10
F8,10
G8,10
H8,10
A9,10
B9,10
C9,10
D9,10
E9,10
F9,10
G9,10
H9,10
A10,10
B10,10
C10,10
D10,10
E10,10
F10,10
G10,10
H10,10
A11,10
B11,10
C11,10
D11,10
E11,10
F11,10
G11,10
H11,10
A12,10
B12,10
C12,10
D12,10
E12,10
F12,10
G12,10
H12,10
